직업,산업군,total,default
4,1,5.00033E-05,0.000466781
4,7,5.00033E-05,0.000466781
4,4,3.33356E-05,0.000311187
4,29,1.66678E-05,0.000155594
4,9,1.66678E-05,0.000155594
4,31,1.66678E-05,0.000155594
4,30,1.66678E-05,0.000155594
4,19,1.66678E-05,0.000155594
4,18,1.66678E-05,0.000155594
4,22,0,0
4,15,0,0
4,11,0,0
4,2,0,0
4,21,0,0
4,25,0,0
4,32,0,0
4,8,0,0
4,14,0,0
16,16,0.000733382,0.006846118
16,8,0.000483366,0.004512214
16,21,0.000316688,0.002956278
16,30,0.000250017,0.002333904
16,24,0.000233349,0.00217831
16,10,0.00015001,0.001400342
16,23,0.000133342,0.001244749
16,5,0.000116674,0.001089155
16,17,0.000100007,0.000933562
16,26,8.33389E-05,0.000777968
16,0,3.33356E-05,0.000311187
16,20,3.33356E-05,0.000311187
16,31,1.66678E-05,0.000155594
16,6,1.66678E-05,0.000155594
16,7,1.66678E-05,0.000155594
16,9,0,0
16,27,0,0
16,22,0,0
16,3,0,0
16,28,0,0
16,4,0,0
16,2,0,0
16,25,0,0
16,13,0,0
13,23,0.001833456,0.017115295
13,5,0.000283352,0.002645091
13,26,8.33389E-05,0.000777968
13,21,8.33389E-05,0.000777968
13,31,6.66711E-05,0.000622374
13,16,5.00033E-05,0.000466781
13,30,3.33356E-05,0.000311187
13,7,3.33356E-05,0.000311187
13,24,1.66678E-05,0.000155594
13,10,1.66678E-05,0.000155594
13,17,1.66678E-05,0.000155594
13,3,1.66678E-05,0.000155594
13,1,0,0
13,13,0,0
13,18,0,0
13,6,0,0
13,25,0,0
13,0,0,0
13,8,0,0
13,22,0,0
13,4,0,0
13,20,0,0
6,16,0.000616708,0.005756963
6,24,0.000233349,0.00217831
6,26,0.00015001,0.001400342
6,5,0.00015001,0.001400342
6,28,0.000133342,0.001244749
6,30,0.000133342,0.001244749
6,20,8.33389E-05,0.000777968
6,32,6.66711E-05,0.000622374
6,0,6.66711E-05,0.000622374
6,8,6.66711E-05,0.000622374
6,10,6.66711E-05,0.000622374
6,23,5.00033E-05,0.000466781
6,21,3.33356E-05,0.000311187
6,17,3.33356E-05,0.000311187
6,1,1.66678E-05,0.000155594
6,3,1.66678E-05,0.000155594
